Year,Age,Female,Male,Total,OpenInterval
2005,75,0.028079,0.052801,0.036864,FALSE
2005,76,0.032748,0.060045,0.042346,FALSE
2005,77,0.037179,0.064777,0.04657,FALSE
2005,78,0.042092,0.071986,0.052103,FALSE
2005,79,0.048991,0.080174,0.059226,FALSE
2005,80,0.056742,0.092168,0.068403,FALSE
2005,81,0.058073,0.093794,0.069638,FALSE
2005,82,0.07749,0.112115,0.088256,FALSE
2005,83,0.079305,0.11854,0.091172,FALSE
2005,84,0.090199,0.126094,0.100947,FALSE
2005,85,0.10193,0.143607,0.114261,FALSE
2005,86,0.110459,0.15867,0.124211,FALSE
2005,87,0.130429,0.172742,0.141688,FALSE
2005,88,0.147614,0.207149,0.162316,FALSE
2005,89,0.160992,0.220747,0.174905,FALSE
2005,90,0.169811,0.225035,0.182014,FALSE
2005,91,0.198419,0.236361,0.206332,FALSE
2005,92,0.22211,0.276103,0.233044,FALSE
2005,93,0.228593,0.272054,0.237421,FALSE
2005,94,0.256365,0.288045,0.262856,FALSE
2005,95,0.255635,0.284013,0.261413,FALSE
2005,96,0.320478,0.331259,0.322504,FALSE
2005,97,0.334161,0.324326,0.332526,FALSE
2005,98,0.34885,0.368583,0.351953,FALSE
2005,99,0.339573,0.364004,0.343238,FALSE
2005,100,0.427043,0.428203,0.427202,FALSE
2005,101,0.459187,0.44917,0.457839,FALSE
2005,102,0.492959,0.47072,0.489993,FALSE
2005,103,0.527067,0.502716,0.524018,FALSE
2005,104,0.563745,0.567919,0.564213,FALSE
2005,105,0.606202,0.693291,0.614432,FALSE
2005,106,0.656911,0.931727,0.676947,FALSE
2005,107,0.73384,1.8,0.760198,FALSE
2005,108,0.876342,NA,0.876342,FALSE
2005,109,1.153846,NA,1.153846,FALSE
2005,110,2.5,NA,2.5,TRUE
2006,0,0.00373,0.004421,0.004088,FALSE
2006,1,4.11e-4,4.33e-4,4.23e-4,FALSE
2006,2,2.71e-4,3.06e-4,2.89e-4,FALSE
2006,3,2.1e-4,2.64e-4,2.38e-4,FALSE
2006,4,2.11e-4,1.79e-4,1.95e-4,FALSE
2006,5,1.87e-4,2.06e-4,1.97e-4,FALSE
2006,6,1.36e-4,2e-4,1.7e-4,FALSE
2006,7,1.6e-4,1.67e-4,1.64e-4,FALSE
2006,8,1.24e-4,1.45e-4,1.35e-4,FALSE
2006,9,9.9e-5,1.52e-4,1.27e-4,FALSE
2006,10,7.9e-5,1.43e-4,1.13e-4,FALSE
2006,11,7e-5,1.2e-4,9.6e-5,FALSE
2006,12,9e-5,1.68e-4,1.32e-4,FALSE
2006,13,1.63e-4,2.21e-4,1.93e-4,FALSE
2006,14,1.54e-4,2.17e-4,1.87e-4,FALSE
2006,15,1.32e-4,2.76e-4,2.09e-4,FALSE
2006,16,1.9e-4,3.06e-4,2.51e-4,FALSE
2006,17,2.39e-4,4.03e-4,3.25e-4,FALSE
2006,18,2.16e-4,4.34e-4,3.3e-4,FALSE
2006,19,2.67e-4,5.4e-4,4.09e-4,FALSE
